tarih,deger=ton
2013-09-15,19030000000
2013-09-16,33920000000
2013-09-17,32140000000
2013-09-18,30100000000
2013-09-19,30445000000
2013-09-20,30160000000
2013-09-21,30585000000
2013-09-22,16765000000
2013-09-23,33810000000
2013-09-24,32085000000
2013-09-25,31175000000
2013-09-26,29110000000
2013-09-27,30000000000
2013-09-28,31640000000
2013-09-29,17505000000
2013-09-30,32970000000
2013-01-10,30890000000
2013-02-10,39315000000
2013-03-10,28710000000
2013-04-10,30950000000
2013-05-10,26870000000
2013-06-10,19540000000
2013-07-10,36930000000
2013-08-10,33740000000
2013-09-10,34300000000
2013-10-10,37385000000
2013-11-10,36445000000
2013-12-10,39125000000
2013-10-13,24130000000
2013-10-14,44455000000
2013-10-15,35910000000
2013-10-16,30300000000
2013-10-17,26410000000
2013-10-18,26750000000
2013-10-19,41045000000
2013-10-20,30125000000
2013-10-21,39735000000
2013-10-22,46310000000
2013-10-23,40180000000
2013-10-24,33525000000
2013-10-25,33575000000
2013-10-26,34700000000
2013-10-27,20190000000
2013-10-28,42960000000
2013-10-29,34855000000
2013-10-30,33490000000
2013-10-31,30830000000
2013-01-11,32650000000
2013-02-11,27720000000
2013-03-11,19395000000
2013-04-11,33430000000
2013-05-11,34945000000
2013-06-11,31890000000
2013-07-11,30680000000
2013-08-11,32770000000
2013-09-11,32875000000
2013-10-11,18035000000
2013-11-11,36030000000
2013-12-11,33230000000
2013-11-13,31625000000
2013-11-14,35545000000
2013-11-15,31365000000
2013-11-16,31425000000
2013-11-17,19920000000
2013-11-18,34630000000
2013-11-19,34110000000
2013-11-20,35695000000
2013-11-21,27670000000
2013-11-22,31295000000
2013-11-23,32800000000
2013-11-24,22975000000
2013-11-25,40475000000
2013-11-26,35805000000
2013-11-27,36965000000
2013-11-28,34120000000
2013-11-29,38010000000
2013-11-30,34555000000
2013-01-12,20090000000
2013-02-12,40050000000
2013-03-12,40005000000
2013-04-12,33445000000
2013-05-12,37425000000
2013-06-12,32205000000
2013-07-12,32335000000
2013-08-12,21935000000
2013-09-12,40255000000
2013-10-12,37225000000
2013-11-12,31790000000
2013-12-12,29560000000
2013-12-13,29360000000
2013-12-14,30125000000
2013-12-15,22065000000
2013-12-16,43795000000
2013-12-17,38900000000
2013-12-18,42540000000
2013-12-19,38965000000
2013-12-20,31310000000
2013-12-21,31865000000
2013-12-22,18785000000
2013-12-23,38570000000
2013-12-24,38535000000
2013-12-25,37090000000
2013-12-26,34415000000
2013-12-27,36535000000
2013-12-28,41605000000
2013-12-29,20090000000
2013-12-30,50945000000
2013-12-31,47470000000
2014-01-01,45290000000
2014-02-01,35090000000
2014-03-01,33185000000
2014-04-01,38425000000
2014-05-01,21440000000
2014-06-01,50100000000
2014-07-01,42495000000
2014-08-01,39795000000
2014-09-01,35330000000
2014-10-01,34310000000
2014-11-01,30810000000
2014-12-01,19850000000
2014-01-13,39985000000
2014-01-14,40975000000
2014-01-15,38240000000
2014-01-16,34505000000
2014-01-17,36465000000
2014-01-18,31960000000
2014-01-19,18750000000
2014-01-20,45995000000
